X,Y,Z
8.894,-8.79753,-35.8266
8.89372,-9.1536,-35.8143
8.88256,-9.15359,-35.8206
8.95049,-9.5096,-35.826
8.96235,-9.50962,-35.8198
8.92539,-8.03199,-35.7853
8.94333,-8.43194,-35.8131
8.93251,-8.03115,-35.7966
8.94969,-8.43163,-35.8249
8.91148,-8.79737,-35.8324
8.90555,-8.79753,-35.8203
8.89929,-9.15348,-35.8267
8.89372,-9.1536,-35.8143
8.96235,-9.50962,-35.8198
8.96855,-9.50955,-35.8317
8.61178,-8.47445,-35.4311
8.60551,-8.47465,-35.4193
8.59306,-8.07482,-35.3698
8.58609,-8.0753,-35.3584
8.61178,-8.47445,-35.4311
8.48298,-8.8221,-35.4521
8.60551,-8.47465,-35.4193
8.47703,-8.82224,-35.44
8.55612,-9.51099,-35.4107
8.54992,-9.51107,-35.3988
8.44856,-9.16656,-35.44
8.4429,-9.16667,-35.4277
8.47703,-8.82224,-35.44
8.48298,-8.8221,-35.4521
8.59306,-8.07482,-35.3698
8.60419,-8.07582,-35.3629
8.61178,-8.47445,-35.4311
8.62357,-8.47457,-35.4248
8.49458,-8.82211,-35.4457
8.48298,-8.8221,-35.4521
8.45984,-9.16658,-35.4334
8.44856,-9.16656,-35.44
8.55612,-9.51099,-35.4107
8.56798,-9.51101,-35.4045
8.58609,-8.0753,-35.3584
8.60551,-8.47465,-35.4193
8.59722,-8.0763,-35.3515
8.6173,-8.47477,-35.413
8.48863,-8.82225,-35.4336
8.47703,-8.82224,-35.44
8.45419,-9.16668,-35.4211
8.4429,-9.16667,-35.4277
8.54992,-9.51107,-35.3988
8.56178,-9.51109,-35.3926
8.59722,-8.0763,-35.3515
8.6173,-8.47477,-35.413
8.60419,-8.07582,-35.3629
8.62357,-8.47457,-35.4248
8.49458,-8.82211,-35.4457
8.48863,-8.82225,-35.4336
8.45984,-9.16658,-35.4334
8.45419,-9.16668,-35.4211
8.56178,-9.51109,-35.3926
8.56798,-9.51101,-35.4045
8.54398,-8.47671,-35.316
8.53771,-8.4769,-35.3042
8.5186,-8.0793,-35.2593
8.51164,-8.07972,-35.2479
8.54398,-8.47671,-35.316
8.41831,-8.82377,-35.3346
8.53771,-8.4769,-35.3042
8.41235,-8.8239,-35.3225
8.41831,-8.82377,-35.3346
8.41996,-9.18867,-35.3347
8.41235,-8.8239,-35.3225
8.41428,-9.18877,-35.3224
8.48756,-9.5121,-35.2953
8.48136,-9.51218,-35.2835
8.49322,-9.5122,-35.2772
8.49942,-9.51212,-35.2891
8.4256,-9.18879,-35.3158
8.43127,-9.18869,-35.328
8.42396,-8.82392,-35.3162
8.42992,-8.82378,-35.3282
8.5495,-8.47703,-35.2979
8.55577,-8.47684,-35.3097
8.52972,-8.08035,-35.2524
8.52276,-8.08079,-35.241
8.5186,-8.0793,-35.2593
8.52972,-8.08035,-35.2524
8.54398,-8.47671,-35.316
8.55577,-8.47684,-35.3097
8.42992,-8.82378,-35.3282
8.41831,-8.82377,-35.3346
8.41996,-9.18867,-35.3347
8.43127,-9.18869,-35.328
8.48756,-9.5121,-35.2953
8.49942,-9.51212,-35.2891
8.51164,-8.07972,-35.2479
8.53771,-8.4769,-35.3042
8.52276,-8.08079,-35.241
8.5495,-8.47703,-35.2979
8.42396,-8.82392,-35.3162
8.41235,-8.8239,-35.3225
8.41428,-9.18877,-35.3224
8.4256,-9.18879,-35.3158
8.48136,-9.51218,-35.2835
8.49322,-9.5122,-35.2772
8.46699,-9.44022,-35.286
8.46676,-9.43115,-35.2862
8.73517,-9.40634,-35.5868
8.73494,-9.39727,-35.5869
8.73494,-9.39727,-35.5869
9.00412,-9.42017,-35.951
8.73517,-9.40634,-35.5868
9.00435,-9.42924,-35.9508
8.46676,-9.43115,-35.2862
8.47478,-9.43088,-35.2819
8.73494,-9.39727,-35.5869
8.74296,-9.397,-35.5827
9.00412,-9.42017,-35.951
9.01213,-9.4199,-35.9467
8.46699,-9.44022,-35.286
8.73517,-9.40634,-35.5868
8.475,-9.43995,-35.2818
8.74318,-9.40607,-35.5825
9.00435,-9.42924,-35.9508
9.01236,-9.42897,-35.9466
9.01236,-9.42897,-35.9466
9.01213,-9.4199,-35.9467
8.74318,-9.40607,-35.5825
8.74296,-9.397,-35.5827
8.47478,-9.43088,-35.2819
8.475,-9.43995,-35.2818
8.40244,-9.01273,-35.3321
8.40319,-9.00363,-35.3326
8.65934,-9.01427,-35.5374
8.6604,-9.00514,-35.5377
8.41021,-9.01245,-35.3276
8.66707,-9.01398,-35.533
8.41096,-9.00336,-35.3282
8.66813,-9.00486,-35.5333
8.90018,-9.00358,-35.8247
8.96125,-8.99835,-35.9463
8.89251,-9.00387,-35.8291
8.95356,-8.99864,-35.9507
8.89251,-9.00387,-35.8291
8.95356,-8.99864,-35.9507
8.89279,-9.01298,-35.8312
8.95216,-9.00779,-35.9506
8.89988,-9.01271,-35.826
8.89279,-9.01298,-35.8312
8.95985,-9.0075,-35.9463
8.95216,-9.00779,-35.9506
8.96125,-8.99835,-35.9463
8.90018,-9.00358,-35.8247
8.95985,-9.0075,-35.9463
8.89988,-9.01271,-35.826
8.89279,-9.01298,-35.8312
8.65934,-9.01427,-35.5374
8.89251,-9.00387,-35.8291
8.6604,-9.00514,-35.5377
8.66707,-9.01398,-35.533
8.89988,-9.01271,-35.826
8.66813,-9.00486,-35.5333
8.90018,-9.00358,-35.8247
8.40319,-9.00363,-35.3326
8.41096,-9.00336,-35.3282
8.6604,-9.00514,-35.5377
8.66813,-9.00486,-35.5333
8.89251,-9.00387,-35.8291
